year,train_end,val_start,val_end,n_train,n_val,default_rate_train,default_rate_val,auc,brier,auc_ci_lower,auc_ci_upper,auc_ci_width
2008,2008-05-01,2008-05-01,2009-05-01,144333,161514,0.008217109046441216,0.011565560880171378,0.8278057976291817,0.09726059648789308,0.8183628430318358,0.8381839302978855,0.019821087266049697
2009,2009-05-01,2009-05-01,2010-05-01,305847,170706,0.009985384849287389,0.015260154886178576,0.8380039244069758,0.12271009885325304,0.8302331983023744,0.8456653302647448,0.015432131962370366
2010,2010-05-01,2010-05-01,2011-05-01,476553,174837,0.011874859669333736,0.016026355977281696,0.8301593147253723,0.12227204015508832,0.8230861178713811,0.8381617647117019,0.015075646840320811
2011,2011-05-01,2011-05-01,2012-05-01,651390,184347,0.012989146287170513,0.01352883420939858,0.8497213314925253,0.13596590373524126,0.8420172626857041,0.8573696941986094,0.015352431512905329
